City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Sidney,AU,-33.8679,151.2073,83.26,35,0,23.02,clear sky
69,Hilo,US,19.7297,-155.09,74.25,91,27,1.01,scattered clouds
70,Mahebourg,MU,-20.4081,57.7,71.89,88,75,3.44,light intensity shower rain
71,Fortuna,US,40.5982,-124.1573,42.66,94,0,4.61,clear sky
72,Kabompo,ZM,-13.5927,24.2008,64.51,97,98,4.99,overcast clouds
73,Roald,NO,62.5833,6.1333,52.16,93,40,2.3,scattered clouds
74,Butaritari,KI,3.0707,172.7902,80.67,72,41,8.86,scattered clouds
75,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,3.44,light intensity shower rain
76,Robertsport,LR,6.7533,-11.3686,75.99,90,100,8.28,light rain
77,Wenling,CN,28.3669,121.36,60.66,77,100,7.65,overcast clouds
78,Springbok,ZA,-29.6643,17.8865,54.91,53,1,6.67,clear sky
79,Uhlove,UA,44.8215,33.6045,47.01,87,36,6.87,scattered clouds
80,Margate,GB,51.3813,1.3862,53.91,65,43,7.34,scattered clouds
81,Carnarvon,AU,-24.8667,113.6333,82.72,36,0,10.71,clear sky
82,Avarua,CK,-21.2078,-159.775,75.25,57,75,11.5,broken clouds
83,Ostrovnoy,RU,68.0531,39.5131,28.58,89,95,11.03,overcast clouds
84,Sitka,US,57.0531,-135.33,43.86,93,100,6.64,overcast clouds
85,Atambua,ID,-9.1061,124.8925,86.34,60,98,3.78,overcast clouds
86,Dingle,PH,10.9995,122.6711,85.21,74,84,15.05,broken clouds
87,Pevek,RU,69.7008,170.3133,-4.77,97,100,1.59,light snow
88,Cherskiy,RU,68.75,161.3,-10.21,100,99,4.29,overcast clouds
89,Nchelenge,ZM,-9.3451,28.734,65.86,92,90,4.54,overcast clouds
90,Purpe,RU,64.4803,76.6897,-10.52,88,93,12.19,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-7.87,98,100,9.6,overcast clouds
92,Talnakh,RU,69.4865,88.3972,-24.25,82,30,3.58,scattered clouds
93,Provideniya,RU,64.3833,-173.3,15.91,48,0,4.47,clear sky
94,Belaya Gora,RU,68.5333,146.4167,-28.97,99,93,4.74,overcast clouds
95,Saint-Philippe,RE,-21.3585,55.7679,72.1,83,88,14.56,light rain
96,Berlevag,NO,70.8578,29.0864,33.75,86,75,11.5,broken clouds
97,Camapua,BR,-19.5314,-54.0439,74.61,63,49,4.21,light rain
98,Sept-Iles,CA,50.2001,-66.3821,28.4,93,100,9.22,snow
99,Bluff,NZ,-46.6,168.3333,59.05,74,61,18.07,broken clouds
100,Cape Town,ZA,-33.9258,18.4232,62.91,72,96,7.0,overcast clouds
101,Ilheus,BR,-14.7889,-39.0494,74.12,92,98,4.34,overcast clouds
102,Elat,IL,29.5581,34.9482,67.24,66,0,5.97,clear sky
103,Lebu,CL,-37.6167,-73.65,52.77,91,93,8.79,light rain
104,Santos Dumont,BR,-21.4567,-43.5525,63.73,96,39,1.43,scattered clouds
105,Ilulissat,GL,69.2167,-51.1,30.22,86,35,9.22,scattered clouds
106,Jamestown,US,42.097,-79.2353,33.03,75,100,8.05,light snow
107,Norman Wells,CA,65.282,-126.8329,16.7,89,24,6.51,few clouds
108,Fairbanks,US,64.8378,-147.7164,33.8,90,75,8.05,light snow
109,Ponta Do Sol,PT,32.6667,-17.1,67.71,82,22,1.34,few clouds
110,Ninghai,CN,29.2892,121.4247,57.56,76,100,3.13,overcast clouds
111,Port-Gentil,GA,-0.7193,8.7815,78.31,84,95,16.15,light rain
112,Narsaq,GL,60.9167,-46.05,50.22,65,100,10.63,overcast clouds
113,Kalmunai,LK,7.4167,81.8167,80.08,81,100,4.12,moderate rain
114,Sao Francisco,BR,-15.9486,-44.8644,71.4,85,60,3.2,light rain
115,Si Sa Ket,TH,14.8333,104.3333,91.85,61,89,3.27,overcast clouds
116,Puerto Leguizamo,CO,-0.1934,-74.7819,73.71,92,100,3.27,overcast clouds
117,Cidreira,BR,-30.1811,-50.2056,68.18,95,100,20.0,overcast clouds
118,Vanimo,PG,-2.6741,141.3028,83.43,81,82,3.36,broken clouds
119,Georgetown,MY,5.4112,100.3354,84.88,85,20,4.61,light rain
120,North Bend,US,43.4065,-124.2243,41.92,99,17,6.71,few clouds
121,Chuy,UY,-33.6971,-53.4616,65.97,99,100,3.67,overcast clouds
122,Mayumba,GA,-3.432,10.6554,75.56,83,99,5.35,overcast clouds
